,Unnamed: 0,Unnamed: 0.1,date,text
167,234,53026,2018-11-21 23:40:51,I SPENT. HOURS. LOOKING FOR MY SHINY JIGGLYPUFF. AND THEN- 
170,237,53029,2018-11-21 23:40:09,Ok so now I got to a 100 combo... 
171,239,53031,2018-11-21 23:40:00,i fucked up 
172,240,53032,2018-11-21 23:39:56,"I'd like to say, for anyone still on the fence about - I, a person who lost interest in Pokemon about 4 year ago, I absolutely adore this game. The Let's Go games are surprisingly addicting."""
173,241,53033,2018-11-21 23:39:49,Elite Pokegirl 
175,244,53036,2018-11-21 23:39:29,"My first shiny hunt, before reaching the first Town. "
176,245,53037,2018-11-21 23:39:17,finally! been a dragged out hunt but I gotcha. got 69 thing going on too $$ 
178,247,53039,2018-11-21 23:39:08,I LOVE THIS GAME 
179,248,53040,2018-11-21 23:39:07,Looks awesome loveit ! 
181,253,53045,2018-11-21 23:38:51,while going for eevee 
182,254,53046,2018-11-21 23:38:50,end me 
183,255,53047,2018-11-21 23:38:50,Get in there! 
184,257,53049,2018-11-21 23:38:42,This moment was amazing. My childhood was satisfied. 
185,258,53050,2018-11-21 23:38:39,Win Pokemon Let's Go Eevee and Pikachu this Thanksgiving! 
190,268,53060,2018-11-21 23:37:46,Am I doing this right? 
192,271,53063,2018-11-21 23:37:20,Movie idea: Power Rangers where they take on the traits of Pokemon instead of dinosaurs/ninjas/witches/cars/ect.  
193,272,53064,2018-11-21 23:37:15,MEWTWO TRIED TO SWAT AWAY MY MASTERBALL WTF 
195,277,53069,2018-11-21 23:36:45,My Neighbor Snorlax 
197,282,53074,2018-11-21 23:36:13,WE GOT SOME LUCK ON OUR SIDE TODAY !!!! Shiny Ponyta welcome to the family baby &lt;3 
199,284,53076,2018-11-21 23:35:59,I bought PIKACHU version SETTING UP STREAM SEE YOU GUYS SOON '
200,287,53079,2018-11-21 23:35:22,Ready for the league! 
201,290,53082,2018-11-21 23:35:07,"Team Rocket Headquarters, let's save the poor cubone! "
202,292,53084,2018-11-21 23:34:58,this game is too cute sometimes omg 
204,295,53087,2018-11-21 23:34:17,I can't 
205,296,53088,2018-11-21 23:34:07,"Now playing Let's Go Eevee, come hang out, squeak squad! @geeksquadfam"""
206,298,53090,2018-11-21 23:34:01,"I am not late, you are late.....okay I am late. Stream is now live. I ended up going out for an early dinner. Continuing "
207,300,53092,2018-11-21 23:33:57,beautiful boi 
208,304,53096,2018-11-21 23:33:36,Hold the f up GameFreak 
209,305,53097,2018-11-21 23:33:29,Good doggo!  
210,306,53098,2018-11-21 23:33:29,6 hour drive to Modesto for thanksgiving! Gonna be playing the whole way  
211,307,53099,2018-11-21 23:33:26,Whatcha gonna do when Haunter comes for you. 
212,308,53100,2018-11-21 23:33:18,"You would think Poison Heals would sell out moreconsidering the nearby forest full of Weedle, but nooooo... "
214,312,53104,2018-11-21 23:32:59,I never knew I wanted this 
215,315,53107,2018-11-21 23:32:37,My child 
217,317,53109,2018-11-21 23:32:26,another\\(^0^)/ snorlax &amp; arcanine 
218,318,53110,2018-11-21 23:32:22,I love how easy is to get the original trio 
221,323,53115,2018-11-21 23:31:46,YOU BET I DID!!!! 
222,324,53116,2018-11-21 23:31:46,"""Draw me like one of your French girls"" "
223,325,53117,2018-11-21 23:31:30,Kicked Team Rocket out of Silph Co. and got the Master Ball! 
224,326,53118,2018-11-21 23:31:29,The first time ever! 
225,327,53119,2018-11-21 23:31:28,"Ay, we're playing some get in here &gt;:o "
226,329,53121,2018-11-21 23:31:13,"im done, no shiny pidgey for me today...maybe some other time :"") "
227,331,53123,2018-11-21 23:31:02,check out the posters! 
228,332,53124,2018-11-21 23:31:02,EVERY MUSCLE IN MY BODY TENSED  
230,334,53126,2018-11-21 23:30:53,Oh I thought I died right there 
231,336,53128,2018-11-21 23:30:41,all these ponies and yet NO SHINY 
